Dataset,DP_PPR,DP_SGD,Sigma,Accuracy,Epsilon,Heat
data/cora_ml,False,False,,0.71146,0.0,False
data/cora_ml,True,False,0.15082,0.5622199999999999,1.1312639491146967,False
data/cora_ml,True,False,0.08104,0.50526,2.206053317942913,False
data/cora_ml,True,False,0.05619,0.46563999999999994,3.263939910842594,False
data/cora_ml,True,False,0.04326,0.53744,4.313994994815165,False
data/cora_ml,True,False,0.03526,0.53252,5.363034437923216,False
data/cora_ml,False,True,,0.58886,0.0,False
data/cora_ml,True,True,0.15082,0.4359,1.1312639491146967,False
data/cora_ml,True,True,0.08104,0.45760000000000006,2.206053317942913,False
data/cora_ml,True,True,0.05619,0.39444,3.263939910842594,False
data/cora_ml,True,True,0.04326,0.40187999999999996,4.313994994815165,False
data/cora_ml,True,True,0.03526,0.48544,5.363034437923216,False
data/cora_ml,False,False,,0.40431999999999996,0.0,True
data/cora_ml,True,False,0.15082,0.37893999999999994,1.1312639491146967,True
data/cora_ml,True,False,0.08104,0.37274,2.206053317942913,True
data/cora_ml,True,False,0.05619,0.44955999999999996,3.263939910842594,True
data/cora_ml,True,False,0.04326,0.33313999999999994,4.313994994815165,True
data/cora_ml,True,False,0.03526,0.36348,5.363034437923216,True
data/cora_ml,False,True,,0.14984,0.0,True
data/cora_ml,True,True,0.15082,0.30714,1.1312639491146967,True
data/cora_ml,True,True,0.08104,0.24209999999999998,2.206053317942913,True
data/cora_ml,True,True,0.05619,0.18638,3.263939910842594,True
data/cora_ml,True,True,0.04326,0.2353,4.313994994815165,True
data/cora_ml,True,True,0.03526,0.28112,5.363034437923216,True
